nr|nederlands|frans|engels
|want ik heb al een week geleden met tante Augusta afgesproken.  |car je suis retenu par Tante Augusta depuis déjà huit jours.|for I have been really engaged to Aunt Augusta for more than a week.
|Ik heb je niet uitgnodigd om met mij vanavond te gaan dineren. | Je ne t’ai pas prié de dîner avec moi ce soir, où que ce soit|I haven't asked you to dine with me anywhere to-night.
|Ik weet het. Je bent waanzinnig slordig met het versturen van invitaties. | Je sais. Tu es absurdement négligent pour tes invitations.|I know. You are absurdly careless about sending out invitations. 
|Erg lichtzinnig. Niet ergert mensen meer dan geen uitnodiging te ontvangen.   | C’est bête, rien n’est aussi ennuyeux que de ne pas recevoir d’invitations.|It is very foolish of you. Nothing annoys people so much as not receiving invitations.
|Je zou er dus beter aan doen bij je tante te dineren.  | Tu ferais mieux de dîner avec ta Tante Augusta.|You had much better dine with your Aunt Augusta.
|Ik koester niet het geringste voornemen van dien aard. | Je n’en ai pas la moindre intention.|I haven't the smallest intention of doing anything of the kind.
|Ten eerste heb ik maandag al bij haar gedineerd, en eens in de week bij je eigen familie dineren is al meer dan genoeg. | D’abord, j’ai dîné avec elle lundi, et dîner une fois la semaine avec la famille, c’est bien suffisant.|To begin with, I dined there on Monday, and once a week is quite enough to dine with one's own relations.
|In de tweede plaats word ik daar als famililid altijd | Ensuite quand je dîne chez elle T.B.D //|In the second place, whenever I do dine there I am always treated as a member of the family
|opgescheept met helemaal geen tafeldame of met twee tegelijk. |je suis toujours placé près de deux femmes, ou aucune.|and sent down with either no woman at all, or two. 
|In de derde plaats weet ik al naast wie ze me vanavond zal zetten. | Enfin je sais parfaitement bien avec qui elle me mettrait ce soir.|In the third place, I know perfectly well whom she will place me next to, to-night.
|Ze zal me zetten naast Mary Farquhar, | Elle me placerait près de Marie Farquhar|She will place me next Mary Farquhar, 
|die altijd over de tafel heen flirt met haar eigen echtgenoot.  | qui flirte toujours par-dessus la table avec son propre mari.|who always flirts with her own husband across the dinner-table.
|Dat is niet zo prettig. Het is zelfs onfatsoenlijk. |T.b.d //|That is not very pleasant. Indeed, it is not even decent...
|En het raakt de laatste tijd steeds meer in de mode. |T.b.d //|and that sort of thing is enormously on the increase.
|Het aantal vrouwen in Londen dat met haar eigen man flirt is tegenwoordig ronduit schandalig. | La quantité de femmes à Londres qui flirtent avec leur mari est parfaitement scandaleuse.|The amount of women in London who flirt with their own husbands is perfectly scandalous.
|Het is net of ze hun schone was buitenhangen.  | C’est vraiment moche, c’est tout simplement laver son linge sale en public.|It looks so bad. It is simply washing one's clean linen in public.
|Trouwens, nu ik weet dat je zo’n overtuigd Bunburyist ben wil ik er natuurlijk met je over praten. | Bon, maintenant que je sais que tu es un Bunburiste il faut que je te parle de la technique.|Besides, now that I know you to be a confirmed Bunburyist I naturally want to talk to you about Bunburying.
|Ik wil je de regels uitleggen. | Je veux t'expliquer les règles.|I want to tell you the rules.
|Ik ben geen Bunburyist. Als Gwendolen ja zegt, ga ik mijn broer vermoorden. | Je ne suis pas du tout un Bunburiste. Si Gwendolen m’accepte, je vais tuer mon frère.|I'm not a Bunburyist at all. If Gwendolen accepts me, I am going to kill my brother,
|Dat was ik trouwens al van plan. Cecily stelt net iets teveel belang in hem. | D’ailleurs de toute façon je crois que je vais le tuer. Cecily s’intéresse un peu trop à lui.|indeed I think I'll kill him in any case. Cecily is a little too much interested in him.
|Het wordt nogal vervelend. Ik ga me dus van Ernst ontdoen. | C’est plutôt ennuyeux. Allons, c’est dit, je vais me débarrasser de Constant.|It is rather a bore. So I am going to get rid of Ernest.
|En ik raad jou aan hetzelfde in overweging te nemen, voor je zieke vriend met die idiote naam. | Et je te recommande vivement d’en faire autant avec monsieur… avec ton grand malade au nom absurde.|And I strongly advise you to do the same with Mr... with your invalid friend who has the absurd name.
|Niets zal me ertoe brengen afstand te doen van van Bunbury, en als jij ooit in het huwelijk treedt,  | Rien ne me convaincra de me séparer de Bunbury, et si tu te maries,|Nothing will induce me to part with Bunbury, and if you ever get married,
|wat me twijfelachtig lijkt, zul je een gat in de lucht springen dat je Bunbury onder je kennissen hebt. | ce qui me parait extrêmement problématique, tu seras bien content de connaître Bunbury.|which seems to me extremely problematic, you will be very glad to know Bunbury.
|Een man die trouwt zonder Bunbury gaat een slaapverwekkend leven tegemoet. | Un homme marié qui ne connait pas Bunbury se prépare bien des ennuis.|A man who marries without knowing Bunbury has a very tedious time of it.
|Onzin. Als ik met zo’n lieftallig schepsel als Gwendolen trouw, | C’est encore une de tes absurdités. Si j’épouse une fille charmante comme Gwendolen,|That is nonsense. If I marry a charming girl like Gwendolen,
|en zij is de enige die ik ooit het gezien met wie ik zou willen trouwen, | et c’est la seule fille que je voudrais épouser,|and she is the only girl I ever saw in my life that I would marry,
|heb ik beslist geen behoefte aan Bunbury. | je n’aurai certainement pas besoin de connaître Bunbury.|I certainly won't want to know Bunbury.
|Dan heeft je vrouw er behoefte aan. Je schijnt niet te beseffen dat in het huwelijksleven | Alors ta femme le fera. Tu ne sembles pas comprendre que dans le mariage,|Then your wife will. You don't seem to realise, that in married life
|alle goede dingen in drieën bestaan. | trois c’est bien, deux c’est nul.|three is company and two is none.
|Dat, jonge vriend, is de theorie die het corrupte Franse drama | Ça, mon jeune ami, c’est la théorie que le Drame Français corrompu a répandu|That, my dear young friend, is the theory that the corrupt French Drama has been propounding
|ons de laatste vijftig jaar probeert aan te smeren. |pendant les cinquante dernières années.|for the last fifty years.
|En die het gelukkige Engelse huisgezin in de helft van die tijd bewezen heeft. | Oui. Et c’est ce que la respectable famille anglaise a mis en pratique.|Yes; and that the happy English home has proved in half the time.
| Probeer in ’s hemelsnaam niet cynisch te zijn. Het is zo gemakkelijk om cynisch te zijn.  | Pour l’amour du ciel, ne joue pas les cyniques. C’est trop facile.|For heaven's sake, don't try to be cynical. It's perfectly easy to be cynical.
|Het is vandaag niet gemakkelijk om wat dan ook te zijn. | Mon petit vieux, ce n’est pas facile d’être quoi que ce soit de nos jours.|My dear fellow, it isn't easy to be anything nowadays.
|De concurrentie is zo beestachtig groot. | Il y a tellement de compétition.|There's such a lot of beastly competition about.
|Dat zal tante Augusta zijn. Alleen familieleden en schuldeisers bellen in zo’n Wagneriaanse stijl. |Ah, ça doit être la tante Augusta. Il n’y a que la famille, ou les créanciers, pour sonner dans ce style wagnérien.| Ah! that must be Aunt Augusta. Only relatives, or creditors, ever ring in that Wagnerian manner.
|Als ik haar voor tien minuten de kamer uitwerk zodat jij Gwendolen ten huwelijk kunt vragen, | Ecoute, si je l’occupe pendant dix minutes, tu auras la possibilité de faire ta demande à Gwendolen.|Now, if I get her out of the way for ten minutes, so that you can have an opportunity for proposing to Gwendolen,
|nodig je me dan vanavond uit om bij Willis te dineren? | Et alors je pourrai diner avec toi ce soir chez Willis’s?|may I dine with you to-night at Willis's?
|Als je erop staat, waarom ook niet. | Bon, si tu veux.|I suppose so, if you want to.
|Perfect. Maar wel een serieuze maaltijd! | Parfait. Mais un repas sérieux, n’est-ce pas?|Yes, but you must be serious about it. 
|Ik heb een hekel aan mensen die eten niet serieus nemen. Dat is zo oppervlakkig van ze. | Je déteste les gens qui ne prennent pas les repas au sérieux. C’est la preuve d’un caractère très superficiel.|I hate people who are not serious about meals. It is so shallow of them.
|Lady Bracknell en Miss Fairfax | Lady Bracknell et Miss Fairfax.|Lady Bracknell and Miss Fairfax.
|Goeiemiddag, m’n beste Algernon, ik hoop dat je je goed gedraagt? | Bonjour, mon cher Algernon, j’espère que tu te comportes bien.|Good afternoon, dear Algernon, I hope you are behaving very well.
|Ik voel me goed, tante Augusta. | Je me sens très bien, tante Augusta. |I'm feeling very well, Aunt Augusta.
|Dat is niet helemaal hetzelfde. Eigenlijk gaan die twee zelden samen. | Ce n’est pas du tout la même chose. En fait les deux choses vont rarement ensemble.|That's not quite the same thing. In fact the two things rarely go together.
|Kind, wat zie je enig uit! | Comme tu es élégante, ma chère!|Dear me, you are smart!
|Ik zie er altijd enig uit! Nietwaar, Mr. Worthing? | Je suis toujours élégante. N’est-ce pas, M. Worthing?|I am always smart! Am I not, Mr. Worthing?
|U bent de volmaaktheid zelve, miss Fairfax. | Vous êtes absolument parfaite, Miss Fairfax.|You're quite perfect, Miss Fairfax.
|Oh, dat hoop ik niet. Dat laat geen ruimte open voor verder ontwikkeling, | Oh! Mais j’espère bien que je ne le suis pas. Ça ne laisserait aucune place au progrès|Oh! I hope I am not that. It would leave no room for developments,
|en ik ben van plan me nog in veel richtingen te ontwikkelen. | et j’ai l’intention de progresser.|and I intend to develop in many directions.
|Het spijt me dat we wat verlaat zijn, Algernon, maar ik moest even op bezoek bij onze brave Lady Harbury. | Désolée d’arriver un peu en retard, Algernon, mais il fallait que je passe chez Lady Harbury,|I'm sorry if we are a little late, Algernon, but I was obliged to call on dear Lady Harbury. 
|Ik was sedert de dood van haar man niet meer bij haar geweest. | je ne l’avais pas vue depuis la mort de son pauvre mari.|I hadn't been there since her poor husband's death. 
|Ik heb nooit een vrouw zo zien veranderen; ze ziet er twintig jaar jonger uit. | Jamais je n’ai vu une femme aussi changée, elle parait avoir ans de moins.|I never saw a woman so altered; she looks quite twenty years younger.
|Nu wil ik graag een kop thee van je  | Et maintenant je vais prendre une tasse de thé |And now I'll have a cup of tea,
|en een van die heerlijke komkommersandwiches die je me hebt beloofd. |et un de ces délicieux sandwichs aux concombres que tu m’as promis.|and one of those nice cucumber sandwiches you promised me.
|Onmiddellijk, tante. | Bien sûr, Tante Augusta.|Certainly, Aunt Augusta.
|Wil je niet hier komen zitten, Gwendolen? | Viens donc t’assoir près de moi, Gwendolen.|Won't you come and sit here, Gwendolen?
|Dank je, mama, ik zit hier werkelijk uitstekend. | Merci, maman, je suis très bien où je suis.|Thanks, mamma, I'm quite comfortable where I am.
|Lieve hemel, Lane! Waarom zijn er geen komkommersandwiches? | Dieux du ciel, Lane! Pourquoi n’y a-t-il pas de sandwichs au concombre?|Good heavens! Lane! Why are there no cucumber sandwiches?
|Ik heb er uitdrukkelijk om gevraagd. | Je les avais demandés tout particulièrement.|I ordered them specially.
|Er waren vanmorgen geen komkommers op de markt, meneer. Ik ben zelfs tweemaal gepasseerd. | Il n’y avait pas de concombre au marché ce matin, monsieur. Et j’y suis allé deux fois.|There were no cucumbers in the market this morning, sir. I went down twice.
|Geen komkommers? | Pas de concombres!|No cucumbers!
|Nee, meneer. Zelfs niet tegen contante betaling. | Non, monsieur. Même en payant comptant.|No, sir. Not even for ready money.
|Zo is het goed, Lane, dank je wel. | Ça ira, Lane, merci.|That will do, Lane, thank you.
|Dank u, meneer. | Merci, monsieur.|Thank you, sir.
|Het spijt me bijzonder, tante Augusta, dat er geen komkommers waren | Je suis complètement désespéré, Tante Augusta, qu'il n'y avait pas de concombres,|I am greatly distressed, Aunt Augusta, about there being no cucumbers,
|zelfs niet tegen contante betaling. |même en payant comptant.|not even for ready money.
|Zit er niet over in, Algernon. Ik heb al een paar gebakjes gehad bij Lady Harbury, | Ça n’a pas vraiment d’importance, Algernon. J’ai pris quelques crumpets chez Lady Harbury,|It really makes no matter, Algernon. I had some crumpets with Lady Harbury, 
|die nu helemaal voor haar genoegen lijkt te leven. | une femme qui ne vit plus que pour le plaisir, me semble-t-il.|who seems to me to be living entirely for pleasure now.
|Ik hoorde, dat haar haren van verdriet blond zijn geworden. | J’ai entendu dire que ses cheveux ont viré au blond. Le chagrin.|I hear her hair has turned quite gold from grief.
|Ze zijn van kleur veranderd. Om welke reden weet ik niet, natuurlijk.  | Eh oui, ils ont changé de couleur. Pourquoi? Je ne saurais le dire.|It certainly has changed its colour. From what cause I, of course, cannot say.
|Dank je. Ik heb een verrassing voor je vanavond, Algernon.  | Merci. J’ai une vraie surprise pour toi, Algernon.| Thank you. I've quite a treat for you to-night, Algernon.
|Je krijgt als tafeldame Mary Farquhar. | Au dîner ce soir, je vais te mettre à côté de Mary Farquhar.|I am going to send you down with Mary Farquhar. 
|Zo’n aardige vrouw, zo attent tegen haar man. Een lust voor het oog, die twee. | C’est une femme si délicieuse et si attentive pour son mari. C’est charmant de les observer tous deux.|She is such a nice woman, and so attentive to her husband. It's delightful to watch them.
|Ik ben bang, tante Augusta, dat ik van het genoegen vanavond bij u te dineren zal moeten afzien. | Je crains fort, Tante Augusta, d’être obligé finalement de renoncer au plaisir de diner avec vous ce soir.|I am afraid, Aunt Augusta, I shall have to give up the pleasure of dining with you to-night after all.
| Dat wil ik niet hopen, Algernon. Het brengt mijn tafel in de war. | J’espère que non, Algernon. Ça démolirait complètement ma table.|I hope not, Algernon. It would put my table completely out.
|Je oom zou op zijn kamer moeten dineren. Gelukkig is hij daaraan gewend. | Et ton oncle serait obligé de diner dans sa chambre. Heureusement, il a l’habitude.|Your uncle would have to dine upstairs. Fortunately he is accustomed to that.
| Het is werkelijk heel vervelend en, zoals u weet, teleurstellend, maar ik heb zonet een telegram ontvangen | Ça m’ennuie beaucoup, je suis très désappointé mais je viens de reçevoir un télégramme|It is a great bore, and, I need hardly say, a terrible disappointment to me, 
|waarin staat dat mijn arme vriend Bunbury weer zo ernstig ziek is. | qui m’annonce que mon pauvre ami Bunbury est encore très malade.|but the fact is I have just had a telegram to say that my poor friend Bunbury is very ill again.
|Mijn komst schijnt dringend gewenst. | On semble penser que je dois y aller.|They seem to think I should be with him.
|Die Mr. Bunbury schijnt een zeldzaam slechte gezondheid te hebben. | C’est vraiment curieux. Ce M. Bunbury semble affligé d’une santé particulièrement mauvaise.|It is very strange. This Mr. Bunbury seems to suffer from curiously bad health.
|T.B.D // | Eh oui. Le pauvre Bunbury est un grand malade.|Yes; poor Bunbury is a dreadful invalid.
|Ik vind het hoog tijd dat die Mr. Bunbury eens beslist | Eh bien, je dois le dire, Algernon, je pense qu’il est grand temps que M. Bunbury se décide|Well, I must say, Algernon, that I think it is high time that Mr. Bunbury 
|of hij nu doodgaat of niet. | à savoir s’il veut vivre ou mourir.|made up his mind whether he was going to live or to die.
|Belachelijk om daar altijd omheen te draaien. | Cette valse-hésitation est absurde.|This shilly-shallying with the question is absurd. 
|Ik begrijp die moderne sympathie ook niet voor iedereen die wat mankeert. | D’ailleurs je n’approuve pas du tout la sympathie moderne pour les malades.|Nor do I in any way approve of the modern sympathy with invalids.
|Ziekte is toch nauwelijks iets om in anderen aan te moedigen? | Je considère que c’est morbide. |I consider it morbid. Illness of any kind is hardly a thing to be encouraged in others.
|Gezondheid is onze voornaamste plicht in het leven. | La santé est le premier devoir de la vie.|Health is the primary duty of life.
|Dat zeg ik je arme oom ook altijd, maar hij schijnt er zich weinig van aan te trekken, | C’est ce que je dis toujours à votre pauvre oncle mais il ne m’écoute pas|I am always telling that to your poor uncle, but he never seems to take much notice...
|of er zit tenminste weinig schot in zijn kwaal. | si bien qu’il n’en résulte aucune amélioration pour sa santé...|as far as any improvement in his ailment goes.
|Je zou me zeer aan je verplichten als je Mr. Bunbury uit mijn naam zou vragen | Je te serais très obligée de prier, de ma part, M. Bunbury d’être assez gentil|I should be much obliged if you would ask Mr. Bunbury, from me, to be kind enough 
|aanstaande zaterdag niet opnieuw in te storten, want ik reken erop dat je de muziek zult regelen.  | pour ne pas avoir de rechute samedi car je compte sur toi pour organiser ma soirée musicale.|not to have a relapse on Saturday, for I rely on you to arrange my music for me.
|Het is mijn laatste receptie, en dan hebben we iets nodig om de conversatie gaande te houden. | C’est ma dernière soirée et il faut quelque chose qui facilite la conversation:|It is my last reception, and one wants something that will encourage conversation
|Het einde van het seizoen nadert en iedereen heeft al zo’n beetje alles gezegd wat hij te zeggen had,  | c’est la fin de la saison et chacun a dit tout ce qui pouvait être dit.|particularly at the end of the season when every one has practically said whatever they had to say,
|wat in de meeste gevallen toch al niet veel was. | Ce qui bien souvent est probablement peu de choses.|which, in most cases, was probably not much.
|Ik zal het met Bunbury bespreken, als hij nog bij bewustzijn is, Tante Augusta, |Je parlerai à Bunbury, Tante Augusta, s’il a toute sa conscience|I'll speak to Bunbury, Aunt Augusta, if he is stillconscious,
|en ik denk dat ik kan beloven dat hij tegen woensdag terug gezond is. |et je crois que je peux vous promettre qu’il sera tout à fait bien samedi.|and I think I can promise you he'll be all right by Saturday.
|Het is met die muziek nogal een ingewikkelde kwestie. |Naturellement, organiser une soirée musicale n’est pas facile.|Of course the music is a great difficulty. 
|Als er goede muziek wordt gespeeld luisteren de mensen niet, |Voyez-vous, si on joue de la bonne musique les gens n’écoutent pas |You see, if one plays good music, people don't listen
|en als er slechte muziek wordt gespeeld praten ze niet. |et si on joue de la mauvaise les gens ne parlent pas.|and if one plays bad music people don't talk.
|Maar we kunnen het programma vast doornemen |Mais je vais revoir le programme que j’ai prévu|But I'll run over the programme I've drawn out
|als u even met mij meekomt naar de kamer hiernaast. | voulez-vous m’accompagner dans la pièce d’à-côté pour en parler. |if you will kindly come into the next room for a moment.
|Dankje Algernon, heel vriendelijk van je. |Merci Algernon. C’est très gentil.|Thank you, Algernon. It is very thoughtful of you.
|Ik ben overtuigd dat het een verrukkelijk programma zal worden na wat weglatingen. |Je suis sûre que le programme sera très agréable. Après quelques suppressions.|I'm sure the programme will be delightful, after a few expurgations.
|Franse liederen kan ik absoluut niet toestaan. |Par exemple, je ne peux tolérer les chansons françaises.|French songs I cannot possibly allow.
|Men schijnt altijd te denken dat die ondeugend zijn, |Les gens trouvent toujours qu’elles sont indécentes et,|People always seem to think that they are improper, 
|en kijken ofwel geshockt, wat vulgair is, of lachen, wat nog erger is. |ou bien ils paraissent choqués ce qui est vulgaire, ou ils rient ce qui est pire.|and either look shocked, which is vulgar, or laugh, which is worse. 
|Maar Duits klinkt als taal door en door fatsoenlijk. Gwendolen, je komt met me mee. |Mais la musique allemande est tout à fait respectable. Gwendolen! Viens avec moi.|But German sounds a thoroughly respectable language, and indeed, I believe is so. Gwendolen, you will accompany me.
|Zeker, mama. |Mais oui, maman!|Certainly, mamma.
|Een prachtige dag vandaag, Miss Fairfax. |Quelle belle journée, Miss Fairfax.|Charming day it has been, Miss Fairfax.
|Praat niet over het weer, Mr. Worthing. |S’il vous plait, M. Worthing, ne parlez pas du temps qu’il fait. |Pray don't talk to me about the weather, Mr. Worthing.
|Altijd als mensen over het weer praten, heb ik sterk de indruk dat ze iets anders bedoelen. |Quand les gens me parlent du temps je sens bien qu’ils veulent dire autre chose.|Whenever people talk to me about the weather, I always feel quite certain that they mean something else.
|Dat maakt me nerveus. |Ça m’agace.|And that makes me so nervous.
|Ik bedoel ook iets anders. |Eh bien, je voulais dire autre chose. |I do mean something else.
|Dat dacht ik al. Ik heb zelden ongelijk. |C’est bien ce que je pensais. En fait, je ne me trompe jamais.|I thought so. In fact, I am never wrong.
|En ik zou graag van de tijdelijke afwezigheid van Lady Bracknell gebruik willen maken om ... |J’aimerais que vous me permettiez de profiter de l’absence temporaire de Lady Bracknell… |And I would like to be allowed to take advantage of Lady Bracknell's temporary absence...
|Dat zou ik zeker aanraden. Mama heeft zo de gewoonte om onverwacht weer in de kamer te staan. |Oui, oui. Mais maman a une façon bien à elle de revenir brusquement…|I would certainly advise you to do so. Mamma has a way of coming back suddenly into a room
|Daar heb ik haar al dikwijls over moeten aanspreken. |T.B.D //|that I have often had to speak to her about.
|Miss Fairfax, sinds ik u heb ontmoet heb ik u meer aanbeden dan welk meisje ook ...  |Miss Fairfax, depuis que je vous ai vue, je vous ai admirée plus que toutes les femmes… |Miss Fairfax, ever since I met you I have admired you more than any girl... 
|dat ik heb ontmoet sinds ... ik u heb ontmoet. |que j’avais vues avant… de vous avoir vue. |I have ever met since... I met you.
|Daar ben ik me terdege van bewust.  |Oui, j’ai très bien remarqué ça. |Yes, I am quite well aware of the fact. 
|En vaak hoopte ik dat u dat eens wat duideljker had getoond, in het openbaar tenminste. |Et souvent j’aurais voulu qu’en public, vous soyez un peu plus démonstratif. |And I often wish that in public, at any rate, you had been more demonstrative.
|Op mij hebt u altijd een onweerstaanbare aantrekkingskracht uigeoefend. |Et vous, vous m’avez toujours irrésistiblement fascinée. |For me you have always had an irresistible fascination.
|Zelfs voor ik u ontmoette was u mij verre van onverschillig.  |Même avant notre première rencontre, vous étiez loin de me laisser indifférente. |Even before I met you I was far from indifferent to you.
|We leven, Mr. Worthing, in het tijdperk der idealen.|Nous vivons, et j’espère que vous le savez, M. Worthing, à l’Âge de l’Idéal.|We live, as I hope you know, Mr Worthing, in an age of ideals. 
|De duurdere maandbladen staan er vol van|C’est ce qu’on dit dans les magazines les plus coûteux. |The fact is constantly mentioned in the more expensive monthly magazines,
|en het is zelfs doorgedrongen tot de provinciale preekstoelen heb ik gehoord;| T.B.D //|and has reached the provincial pulpits, I am told;
|Mijn ideaal is het altijd geweest van iemand te houden die Ernst heette.|Et mon idéal a toujours été d’aimer quelqu’un du nom de Constant.|And my ideal has always been to love some one of the name of Ernest.
|Er is iets in die naam dat tot absolute weergave noopt.|Il y a quelque chose dans ce nom qui m’inspire une confiance absolue.|There is something in that name that inspires absolute confidence.
|Vanaf het moment dat Algernon tegen me zei dat hij een vriend had met de naam Ernst,|Quand Algernon a expliqué pour la première fois qu’il avait un ami appelé Constant,|The moment Algernon first mentioned to me that he had a friend called Ernest,
|wist ik dat ik was voorbestemd van u te houden.|j’ai su que j’étais destinée à vous aimer.|I knew I was destined to love you.
|Hou je echt van me, Gwendolen?|Vraiment, vous m’aimez, Gwendolen? |You really love me, Gwendolen?
|Hartstochtelijk!|Passionnément!|Passionately!
|Lieveling! Je weet niet hoe gelukkig je me hebt gemaakt.|Chérie! Tu ne peux pas savoir à quel point tu me rends heureux.|Darling! You don't know how happy you've made me.
|Mijn eigen Ernst!|Mon Constant à moi!|My own Ernest!
|Maar je wilt toch niet beweren dat je niet van me zou kunnen houden als ik niet Ernst heette?|Mais tu ne veux pas dire que tu ne m’aimerais pas si je ne m’appelais pas Constant?|But you don't really mean to say that you couldn't love me if my name wasn't Ernest?
|Maar je heet Ernst.|Mais ton nom est Constant.|But your name is Ernest.
|Maar stel dat ik andere heette? Wou je beweren dat je dan niet van me kon houden?|Mais supposons que ce soit un autre nom, est-ce que tu veux dire que tu ne pourrais pas m’aimer?|Yes, I know it is. But supposing it was something else? Do you mean to say you couldn't love me then?
|Dat is weer zo’n metafysische speculatie die, net als de meeste metafysische speculaties, |Ça c’est clairement un problème… métaphysique, et les problèmes métaphysiques ont bien |Ah! that is clearly a metaphysical speculation, and like most metaphysical speculations has
|in geen enkel verband staat tot de realiteit van het dagelijks bestaan.|peu de rapports avec la vie réelle.|very little reference at all to the actual facts of real life, as we know them.
|Als ik heel eerlijk ben, lieveling, geef ik persoonlijk niet veel om die naam Ernst ... |Vois-tu chérie, pour parler fran&shy;chement, je ne tiens pas particulièr&shy;ement au nom de Constant… |Personally, darling, to speak quite candidly, I don't much care about the name of Ernest...
|Ik vind dat hij helemaal niet bij me past.|Je trouve qu’il ne me va pas du tout. |I don't think the name suits me at all.
|Hij past perfect bij je. Het is een goddelijke naam.|Il te convient parfaitement. C’est un nom divin. |It suits you perfectly. It is a divine name.
|Hij heeft iets heel muzikaals. Hij roept vibraties op.|Il a une musique bien à lui. Il produit des vibrations douces.|It has a music of its own. It produces vibrations.
|Ik vind heel wat namen veel en veel mooier. |Eh bien, Gwendolen, je pense qu’il y a beaucoup d’autres noms bien plus beaux.|Well, really, Gwendolen, I must say that I think there are lots of other much nicer names. 
|Jack bijvoorbeeld vind ik een prachtige naam.|Jack, par exemple, je trouve que c’est un nom charmant.|I think Jack, for instance, a charming name.
|Jack? ... Nee, er zit geen muziek in de naam Jack.|Jack? Il y a bien peu de musique dans ce nom-là.|Jack?... No, there is very little music in the name Jack, if any at all, indeed.
|Hij grijpt je niet aan. Hij roept absoluut geen vibraties op...|Ça ne fait pas frissonner. Ça ne procure aucune vibration.|It does not thrill. It produces absolutely no vibrations...
|Ik heb verschillende Jacks gekend, en ze waren allemaal ongelooflijk lelijk.|J’ai connu plusieurs Jack et tous, sans exception, étaient terriblement ordinaires.|I have known several Jacks, and they all, without exception, were more than usually plain.
|Bovendien is Jack een bekende bijnaam voor John.|D’ailleurs, Jack n’est qu’un diminutif pour John.|Besides, Jack is a notorious domesticity for John! 
|En ik heb medelijden met elke vrouw die getrouwd is met John.|Et je plains une femme qui épouserait un homme appelé John.|And I pity any woman who is married to a man called John.
|Ze zal voor eeuwig verstoken blijven ßßvan het verrukkelijke genot één moment alleen te zijn. | T.B.D // |She would probably never be allowed to know the entrancing pleasure of a single moment's solitude.
|Zoiets lukt niet met een John. De enige veilige naam is Ernst.|Non, Constant est le seul nom possible.|The only really safe name is Ernest
|Ik moet me dadelijk laten dopen|Gwendolen, il faut que je me fasse baptiser -|Gwendolen, I must get christened at once
|– ik bedoel we moeten dadelijk trouwen, Gwendolen.|Je veux dire, nous devons nous marier tout de suite! |-- I mean we must get married at once. There is no time to be lost.
|Trouwen, Mr. Worthing?|Nous marier, M. Worthing?|Married, Mr. Worthing?
|Ja... Natuurlijk. U weet dat ik van u hou en u gaf me de indruk, Miss Fairfax|Eh bien… certainement. Vous savez que je vous aime et vous m’avez laissé croire, Miss Fairfax|Well... surely. You know that I love you, and you led me to believe, Miss Fairfax,
|dat u niet geheel onverschillig tegenover mij stond. |que je ne vous étais pas entièrement indifférent.|that you were not absolutely indifferent to me.
|Ik aanbid u. Maar u hebt me nog niet eens een aanzoek gedaan.|Je vous adore. Mais vous n’avez pas encore demandé ma main. |I adore you. But you haven't proposed to me yet.
|Er is over trouwen nog met geen woord gerept. |Rien n’a été dit concernant un mariage, le sujet n’a pas même été effleuré.|Nothing has been said at all about marriage. The subject has not even been touched on.
|Wel... Mag ik dan nu om uw hand vragen? |Eh bien, puis-je vous demander votre main, tout de suite? |Well... may I propose to you now?
|Het is er ongetwijfeld een prachtige gelegenheid voor. |Il me semble que c’est une merveilleuse occasion. |I think it would be an admirable opportunity.
|En om u bij voorbaat elke teleurstelling te besparen, lijkt het me alleen maar billijk |Et pour vous épargner tout désappointement, M. Worthing,|And to spare you any possible disappointment, Mr. Worthing, I think it only fair to tell you 
|dat ik u nu reeds in alle oprechtheid meedeel dat ik ten volle bereid ben uw aanzoek te accepteren. |je pense qu’il serait plus franc de vous dire avant tout que je suis tout à fait déterminée à  accepter.|quite frankly before-hand that I am fully determined to accept you.
|Gwendolen! |Gwendolen!|Gwendolen!
|Ja, Mr. Worthing, wat had u mij willen zeggen? |Oui, M. Worthing. Qu’avez-vous à me dire?|Yes, Mr. Worthing, what have you got to say to me?
|U weet wat ik u wil zeggen. |Vous savez très bien ce que j’ai à vous dire.|You know what I have got to say to you.
|Ja, maar u zegt het niet. |Oui, mais vous ne le dites pas.|Yes, but you don't say it.
|Gwendolen, wil je met me trouwen? |Gwendolen, voulez-vous m’épouser?|Gwendolen, will you marry me?
|Natuurlijk wil ik dat, lieveling. Wat heb je daar lang over gedaan.| Naturellement je le veux, mon chéri. Comme tu as été long à te décider.|Of course I will, darling. How long you have been about it!
|Ik vrees dat je weinig ervaring hebt in huwelijksaanzoeken. |Je crains que tu n’aies pas une grande expérience des demandes en mariage.|I am afraid you have had very little experience in how to propose.
|Mijn lieveling, jij bent de enige van wie ik ooit heb gehouden.|Ma chérie à moi, c’est que je n’ai jamais aimé personne au monde que toi.|My own one, I have never loved any one in the world but you.
|Ja, maar mannen doen vaak aanzoeken om ervaring op te doen.|Oui, mais souvent les hommes font des demandes pour s’entrainer.|Yes, but men often propose for practice.
|Mijn broer Gerald is zo iemand.|Je sais que Gérald, mon frère, le fait.|I know my brother Gerald does.
|Dat hoor ik van al mijn vriendinnen.|Et toutes mes amies m’en disent autant.|All my girl-friends tell me so. 
|Wat een prachtige blauwe ogen heb je, Ernst! Echt, echt...|Ah, Constant, comme tu as des yeux bleus, miraculeusement...|What wonderfully blue eyes you have, Ernest! They are quite, quite, ...
